symbol,timestamp,open,high,low,close,volume,trade_index
SPY,2025-11-14T16:30:00Z,672.81,672.84,672.61,672.67,75412,319
SPY,2025-11-14T16:35:00Z,672.66,672.75,672.45,672.5195,12462,320
SPY,2025-11-14T16:40:00Z,672.5199,672.7805,672.455,672.59,29436,321
SPY,2025-11-14T16:45:00Z,672.63,672.75,672.56,672.69,8559,322
SPY,2025-11-14T16:50:00Z,672.72,672.72,672.57,672.6,7955,323
SPY,2025-11-14T16:55:00Z,672.62,672.7,672.57,672.64,42691,324
SPY,2025-11-17T08:00:00Z,676.1688,676.34,671.8,671.86,178288,325
SPY,2025-11-17T08:05:00Z,671.84,672.2207,671.37,671.38,42828,326
SPY,2025-11-17T08:10:00Z,671.445,671.445,670.7788,671.065,70528,327
SPY,2025-11-17T08:15:00Z,671.05,671.93,670.981,671.51,45309,328
SPY,2025-11-17T08:20:00Z,671.5193,671.671,671.24,671.34,29522,329
SPY,2025-11-17T08:25:00Z,671.34,671.64,671.195,671.46,35457,330
SPY,2025-11-17T08:30:00Z,671.42,671.439,670.75,670.84,32360,331
SPY,2025-11-17T08:35:00Z,670.865,671.05,670.58,670.66,32784,332
SPY,2025-11-17T08:40:00Z,670.66,670.66,670.15,670.195,85317,333
SPY,2025-11-17T08:45:00Z,670.22,671.93,670.04,670.15,50815,334
SPY,2025-11-17T08:50:00Z,670.1,670.45,669.71,670.4,48349,335
SPY,2025-11-17T08:55:00Z,670.39,672.765,670.35,671.02,70304,336
SPY,2025-11-17T09:00:00Z,671,671.02,670.39,670.625,36646,337
SPY,2025-11-17T09:05:00Z,670.61,670.735,670.24,670.4,31457,338
SPY,2025-11-17T09:10:00Z,670.42,670.48,669.83,670.02,67065,339
SPY,2025-11-17T09:15:00Z,670.015,670.429,669.9897,670.295,37190,340
SPY,2025-11-17T09:20:00Z,670.29,670.6205,670.07,670.1577,36481,341
SPY,2025-11-17T09:25:00Z,670.06,670.18,669.48,669.661,140959,342
SPY,2025-11-17T09:30:00Z,669.7,671.14,668.92,671.14,2298128,343
